IE_XML_ID,IE_NAME,IE_ID,IE_ACTIVE,IE_ACTIVE_FROM,IE_ACTIVE_TO,IE_PREVIEW_PICTURE,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_DETAIL_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_CODE,IE_SORT,IE_TAGS,IP_PROP1083,IP_PROP1268,IP_PROP1084,IP_PROP1269,IP_PROP1270,IP_PROP1267,IP_PROP1085,IC_GROUP0,IC_GROUP1,IC_GROUP2
327846,Бланки,327846,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,4000,A6 (105x148 мм),Бланки [320132],,,
327847,Бланки,327847,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,4000,Евро (210x99 мм),Бланки [320132],,,
327848,Бланки,327848,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,5000,A4 (210x297 мм),Бланки [320132],,,
327849,Бланки,327849,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,5000,A5 (210x148 мм),Бланки [320132],,,
327850,Бланки,327850,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,5000,A6 (105x148 мм),Бланки [320132],,,
327851,Бланки,327851,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,5000,Евро (210x99 мм),Бланки [320132],,,
327852,Бланки,327852,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,10000,A4 (210x297 мм),Бланки [320132],,,
327853,Бланки,327853,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,10000,A5 (210x148 мм),Бланки [320132],,,
327854,Бланки,327854,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,10000,A6 (105x148 мм),Бланки [320132],,,
327855,Бланки,327855,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,10000,Евро (210x99 мм),Бланки [320132],,,
327856,Бланки,327856,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,20000,A4 (210x297 мм),Бланки [320132],,,
327857,Бланки,327857,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,20000,A5 (210x148 мм),Бланки [320132],,,
